NUM;NAME;RAJD;DECJD;P0;DM;
# Generated 2016-11-16 using PALFA Known_Pulsars database
# Contains only sources with DM > 0 and period > 0
377;J1237-6725;189.357917;-67.426083;2.110974;179.0;
378;J1238+21;189.596569;21.869743;1.118591;17.5;
379;B1236-68;189.995833;-68.541028;1.301908;94.3;
380;B1237+25;189.918589;24.897025;1.382449;9.24;
381;B1237-41;190.073375;-41.414361;0.512242;44.1;
382;B1240-64;190.821492;-64.389958;0.388481;297.25;
383;J1243-5735;190.897417;-57.595222;0.471225;270.6;
384;J1244-5053;191.047833;-50.889056;0.275207;109.95;
385;J1245-6238;191.338;-62.648861;2.283093;336.2;
386;J1246+22;191.658333;22.883333;0.47383;17.9;
387;J1248-6344;192.193167;-63.736;0.198335;433.3;
388;J1249-6507;192.476333;-65.122167;0.434445;215.0;
389;J1252-6314;193.177583;-63.242417;0.823339;278.4;
390;J1253-5820;193.368092;-58.344692;0.255496;100.58;
391;J1254-6150;193.635333;-61.847444;0.184502;95.0;
392;J1255-6131;193.978583;-61.519472;0.657974;206.5;
393;B1254-10;194.269873;-10.451602;0.617308;29.63;
394;B1256-67;194.844583;-67.694444;0.663329;94.7;
395;B1257+12;195.014903;12.682353;0.006219;10.17;
396;J1301-6305;195.440667;-63.09275;0.184528;374.0;
397;J1301-6310;195.367917;-63.177917;0.66383;86.1;
398;B1259-63;195.698542;-63.83575;0.047763;146.72;
399;J1302-63;195.516667;-63.748056;0.325724;875.0;
400;J1302-6313;195.58;-63.224722;0.967846;500.0;
401;J1303-6305;195.750083;-63.083556;2.306642;343.0;
402;B1302-64;196.34875;-64.923972;0.571647;505.0;
403;J1305-6203;196.337083;-62.056;0.427762;470.0;
404;J1305-6256;196.366667;-62.944167;0.478231;967.0;
405;B1303-66;196.659125;-66.289389;0.473026;436.9;
406;J1306-6242;196.685833;-62.700833;0.981902;480.0;
407;J1307-6318;196.977917;-63.309722;4.962427;374.0;
409;J1308-4650;199.685787;-46.841583;1.058833;66.0;
410;J1308-5844;197.087833;-58.737167;0.4647;205.6;
411;J1309-6415;197.319167;-64.266389;0.619454;574.0;
412;J1309-6526;197.251208;-65.437944;0.398292;340.0;
413;B1309-12;197.969375;-12.467117;0.447518;36.21;
414;B1309-53;198.019167;-54.045;0.728154;133.0;
415;B1309-55;198.224292;-55.27975;0.849236;134.1;
416;B1310+18;198.229167;18.166667;0.033163;24.0;
417;J1312-6400;198.029833;-64.015444;2.437432;93.0;
418;J1313+0931;198.345833;9.532222;0.848933;12.0;
419;J1314-6101;198.5975;-61.021111;2.94839;309.0;
420;J1316-6232;199.192917;-62.536722;0.342825;983.3;
421;J1317-5759;199.442958;-57.991722;2.642198;145.4;
422;J1317-6302;199.436208;-63.047833;0.261271;678.1;
423;B1316-60;199.834542;-60.946297;0.284351;400.94;
424;J1319-6105;199.859667;-61.090611;0.421118;442.2;
425;B1317-53;200.224675;-53.985106;0.279729;97.6;
426;J1320-3512;200.052833;-35.207222;0.458488;16.42;
427;B1322+83;200.442417;83.394144;0.670037;13.31;
428;J1322-6241;200.633958;-62.698194;0.506058;618.8;
429;J1322-6329;200.575;-63.493611;2.764209;659.0;
430;J1324-6146;201.182917;-61.766667;0.844109;828.0;
431;J1324-6302;201.056875;-63.039194;2.483804;497.0;
432;B1322-66;201.513333;-67.014167;0.543009;209.6;
433;B1323-58;201.742792;-58.991417;0.477991;287.3;
434;B1323-63;201.635833;-64.145556;0.79267;502.7;
435;B1323-62;201.8225;-62.379056;0.529913;318.8;
436;B1323-627;201.781125;-63.020942;0.196479;294.91;
437;J1327-6400;201.792792;-64.003639;0.280678;680.9;
438;B1325-43;202.0268;-43.962256;0.532699;42.0;
439;B1325-49;202.139917;-49.359278;1.478721;118.0;
440;J1329-6158;202.26375;-61.983056;1.565218;514.0;
441;J1332-3032;203.218686;-30.538137;0.650434;15.1;
442;J1333-4449;203.436787;-44.82395;0.345603;44.3;
443;J1334-5839;203.625455;-58.654596;0.107718;119.3;
444;J1335-3642;203.9;-36.7;0.399192;41.7;
445;J1337-6306;204.334792;-63.106472;0.207953;777.7;
446;B1334-61;204.538958;-62.071861;1.23899;640.3;
447;J1339-4712;204.985786;-47.201533;0.137055;39.9;
448;J1339-6618;204.985833;-66.302167;0.558179;241.0;
449;B1336-64;205.001333;-64.94525;0.378622;76.99;
450;B1338-62;205.427625;-62.339083;0.19334;717.3;
451;J1341-6023;205.280708;-60.392972;0.627285;364.6;
452;J1342+2822A;205.545833;28.375556;0.002545;26.5;
453;J1342+2822B;205.546196;28.377817;0.002389;26.15;
454;J1342+2822C;205.545833;28.375556;0.002166;26.5;
455;J1342+2822D;205.5425;28.376667;0.005443;26.36;
456;J1344-6059;206.165;-60.991944;0.540102;435.0;
457;J1345-6115;206.435125;-61.2585;1.253085;278.1;
458;J1347-5947;206.83075;-59.794389;0.609962;293.4;
459;J1348-6307;207.176667;-63.117778;0.927772;597.0;
460;J1349-6130;207.402708;-61.50475;0.259363;284.6;
461;J1350-5115;207.567158;-51.256881;0.295699;90.39;
462;J1352-6803;208.143542;-68.060306;0.628903;214.6;
463;J1354-6249;208.645833;-62.825;2.951938;254.0;
464;B1352-51;208.9945;-51.898278;0.644301;112.1;
465;J1355-5747;208.903958;-57.7875;2.038674;229.0;
466;J1355-5925;208.996292;-59.416917;1.213381;354.8;
467;J1355-6206;208.838917;-62.105583;0.276603;547.0;
468;J1356-5521;209.210658;-55.3536;0.50738;174.17;
469;B1353-62;209.354167;-62.466667;0.455761;416.8;
470;J1357-6429;209.260125;-64.491722;0.166108;128.5;
471;J1358-2533;209.675;-25.55;0.912971;31.27;
472;B1356-60;209.992583;-60.635556;0.127501;293.71;
473;B1358-63;210.468667;-63.96265;0.84279;98.0;
474;B1359-51;210.7375;-51.4;1.380177;39.0;
475;J1403-6310;210.808333;-63.174167;0.39917;305.0;
476;J1403-7646;210.767083;-76.782639;0.653099;100.6;
477;J1405-5641;211.301708;-56.690056;0.617575;273.0;
